phys	rec
0.45	1.65414482731422
0.55	1.62471068942138
0.65	1.59938355800193
0.75	1.58557063769395
0.85	1.57395193403705
0.95	1.56212616597369
1.05	1.55009502289148
1.15	1.53845335135729
1.25	1.5280537442371
1.35	1.5199221109246
1.45	1.50955701611651
1.55	1.50210895265982
1.65	1.49116259671661
1.75	1.47555522168766
1.85	1.44943777590837
1.95	1.42295831298523
2.05	1.39333076548986
2.15	1.35960764978841
2.25	1.33525733221529
2.35	1.30617281704109
2.45	1.27784225559952
2.55	1.27144572517061
2.65	1.2583952861061
2.75	1.26771026918916
2.85	1.29314810402586
2.95	1.31275099475289
3.05	1.35284951207042
3.15	1.3964590842745
3.25	1.45326997326677
3.35	1.52126246999353
3.45	1.59955116947178
3.55	1.66456183034041
3.65	1.69491319397318
3.75	1.69010082691063
3.85	1.65171282569886
3.95	1.62821008700621
4.05	1.58932807137583
4.15	1.53158326484321
4.25	1.44805628293881
4.35	1.34906838081869
4.45	1.22617895986129
4.55	1.10978493329327
4.65	0.994281509060746
4.75	0.861595703037665
4.85	0.76623879301861
4.95	0.723613671192351
5.05	0.73372033755889
5.15	0.794391574227305
5.25	0.818156292072172
5.35	0.89010791896918
5.45	0.966003240923251
5.55	1.03699674468912
5.65	1.14991330698861
5.75	1.34908478232359
5.85	1.587272917347
5.95	1.83613889943676
6.05	2.11036717871566
6.15	2.41660640601036
6.25	2.70745723909223
6.35	2.97617482037623
6.45	3.22206730922947
6.55	3.40844195050656
6.65	3.47869740562713
6.75	3.52046386379069
6.85	3.6198466582882
6.95	3.74792902901769
7.05	3.86534577901821
7.15	3.93309922991421
7.25	3.92097598227893
7.35	3.85710946457087
7.45	3.74657463654587
7.55	3.6485449058711
7.65	3.52687982540115
7.75	3.40406033429466
7.85	3.38991306790498
7.95	3.43277028837712
8.05	3.55414546499182
8.15	3.73884396889108
8.25	3.95775369257856
8.35	4.18015311106988
8.45	4.33756732160614
8.55	4.48468993470499
8.65	4.50383488466201
8.75	4.47672153222753
8.85	4.39614120280322
8.95	4.25770625903422
9.05	4.08848055642798
9.15	3.93274654616156
9.25	3.97654527358919
9.35	4.05674043815145
9.45	4.25673035467046
9.55	4.58365973897895
9.65	4.93296743476938
9.75	5.33320792606448
9.85	5.72269771721046
9.95	5.97340476547545
10.05	6.1178809577828
10.15	6.19557902799301
10.25	6.2511480908379
10.35	6.37507490411776
10.45	6.57602202920288
10.55	6.90103279899479
10.65	7.30675699263236
10.75	7.69123414789069
10.85	7.91549607697931
10.95	8.06539159982433
11.05	8.01787934870213
11.15	7.77864534086884
11.25	7.46569849627422
11.35	6.96132003534016
11.45	6.50049790628541
11.55	6.00466213972907
11.65	5.52876488904389
11.75	5.01175453330568
11.85	4.45363107251442
11.95	3.86072050081013
12.05	3.30175343288024
12.15	2.8022475184251
12.25	2.35987463700261
12.35	1.88517739422294
12.45	1.40994574124082
12.55	1.03342617590514
12.65	0.755618698215922
12.75	0.576523308173148
12.85	0.495219075754123
12.95	0.347601052316792
13.05	0.181448978308667
13.15	0.120504975931382
13.25	0.164769045184911
13.35	0.31424118606929
13.45	0.568921398584499
13.55	0.817137766641497
13.65	1.04208802589399
13.75	1.373089581221
13.85	1.65901332078417
13.95	1.94622008746078
14.05	2.22348924188315
14.15	2.49073033720419
14.25	2.77831599206526
14.35	3.1054646585945
14.45	3.38391266410661
14.55	3.66977905329917
14.65	3.96012452203547
14.75	4.2720885256174
14.85	4.56127520081199
14.95	4.82679031518062
15.05	4.93186936887018
15.15	5.09727950877274
15.25	5.03527127002008
15.35	4.73960533201935
15.45	4.27012689683182
15.55	3.85351255031032
15.65	3.47070504203837
15.75	3.19344676535589
15.85	2.97545070425346
15.95	2.78435134265237
16.05	2.60869884612327
16.15	2.44309033358975
16.25	2.27017654012873
16.35	2.11134865317641
16.45	1.93757333423155
16.55	1.77070789696502
16.65	1.61276868795378
16.75	1.52699325180952
16.85	1.46929567304927
17.309999	1.3905832923147
