phys	rec
0.85	5.49192206029129
0.95	5.51351001340374
1.05	5.92551649234485
1.15	6.06512392781566
1.25	5.97995400379196
1.35	5.87450994616587
1.45	5.8575153306307
1.55	5.81288373619285
1.65	5.69434388183825
1.75	5.57662096806503
1.85	5.47221371662883
1.95	5.27524128842509
2.05	5.0672803186552
2.15	4.72207439924056
2.25	4.37693923099097
2.35	3.97829608251494
2.45	3.6299140485606
2.55	3.27745462849346
2.65	2.9209178223135
2.75	2.55747202980428
2.85	2.16925120321849
2.95	1.79968073191796
3.05	1.39763592251215
3.15	1.13406888850165
3.25	0.858154281887477
3.35	0.510011055360573
3.45	0.32259034879136
3.55	0.299229009603547
3.65	0.253303110020417
3.75	0.117787966880323
3.85	0.1159
3.95	0.0891
4.05	0.0733
4.15	0.0759
4.25	0.0963
4.35	0.1238
4.45	0.39551408540827
4.55	0.947977024380072
4.65	1.63601370915872
4.75	2.45962413974423
4.85	3.41880831613657
4.95	4.47914952075303
5.05	5.50926572893934
5.15	6.42653223627941
5.25	7.1862431424292
5.35	7.67566680399689
5.45	7.94035470836459
5.55	8.08848682461824
5.65	7.99244188852837
5.75	7.74839197005197
5.85	7.59914535573963
5.95	7.52213661144848
6.05	7.23082635941267
6.15	6.85754858635191
6.25	6.40043769022386
6.35	5.81030810874293
6.45	5.30306158263772
6.55	4.74776362475986
6.65	4.59663579481143
6.75	4.67482384827763
6.85	5.01316823104207
6.95	5.66935468770015
7.05	6.35196848600374
7.15	7.14231325965012
7.25	7.79240592176617
7.35	8.55183949987675
7.45	8.80140528134393
7.55	8.62155423007959
7.65	8.389678543518
7.75	8.12572698298749
7.85	8.04886912473511
7.95	7.97245159351094
8.05	7.62659093251925
8.15	6.87785670961082
8.25	5.85441421429231
8.35	4.81076553327992
8.45	4.07299514641422
8.55	3.78757374175018
8.65	3.81930163102289
8.75	4.08513005042757
8.85	4.41687316150633
8.95	4.51743695957217
9.05	4.45627528173148
9.15	4.29233579063502
9.25	3.91036915537796
9.35	3.51438951223676
9.45	2.99480198936258
9.55	2.52489756529823
9.65	2.01609400345562
9.75	1.7037666234946
9.85	1.70542510870601
9.95	1.79275004503519
10.05	1.86453532538754
10.15	1.86965258779316
10.25	1.85215928375213
10.35	1.80783282435875
10.45	1.75114025064845
10.55	1.76140129554619
10.65	1.81449638499535
10.75	1.8744484988123
10.85	1.93199375714586
10.95	2.0050226707297
11.05	2.05658809346564
11.15	2.08737521663732
11.25	2.04001603402479
11.35	1.93815002242253
11.45	1.8654451683744
11.55	1.80621170472821
11.65	1.74728379210819
11.75	1.7112483666359
11.85	1.67891980255625
11.95	1.65354965896254
12.05	1.62459406984097
12.15	1.5787286416393
12.25	1.53808927597668
12.35	1.50152133652085
12.45	1.46555217958696
12.55	1.43227763461854
12.65	1.39820262773527
12.75	1.37951930429918
13.329999	1.39353354128234
